input_text,vibe_label
"Categories: Nightlife, Seafood, Restaurants, Bars, Cocktail Bars, Burgers, Fish & Chips, Sandwiches | Review: Great ambiance and yummy food. Fair prices and great portions. 
I had dinner and lunch there and the fish, clam chowder were delicious. 
Friendly staff too.",date_night
"Categories: Nightlife, Bars, Tiki Bars, Cocktail Bars | Review: Kind of underwhelming. Very awkward bar arrangement and very tight layout. Not a comfortable place to be for very long. I liked the Mai Tai though.",late_night
"Categories: Bakeries, Food Trucks, Food, Cupcakes | Review: The best cupcakes I have ever had is from Enjoy Cupcakes in the Santa Barbara Public Market downtown. They have mini cupcakes for $2 each and you can get one of each flavor (6 flavors) for $10 that comes in a cute little mini egg carton. Enjoy Cupcakes never gets boring because they change their flavors often and I have yet to try a single one that is a miss. From the Chocolate Malt sprinkled with tiny bits of In 'n Out fries to Chardonnay and the Neapolitan, the flavors can never go wrong. The problem with many cupcakes is that they're too dry and they crumble at the touch. But Enjoy Cupcakes are always perfectly baked and the gooey fillings on the inside keep it moist and scrumptious. The location is also perfect; the Public Market is a hip little indoor place with a few other good eateries like the Thai restaurant and the unique ice cream shop that I have yet to try.",trendy
"Categories: Breakfast & Brunch, Venues & Event Spaces, Peruvian, Event Planning & Services, Bars, Nightlife, Latin American, Restaurants, Cocktail Bars, Seafood, Tapas/Small Plates, Mexican | Review: Food was extremely greasy: specifically the quesadilla de pork belly. There were puddles of grease on every dish we ordered. The garnish overpowered the ""tapas"" feel that the dishes should've had. 

Drinks were decent, ordered a Cadillac margarita which compared to those of ""Mexican"" chain restaurants. 

Service was great and so was the decor, probably the only reason I would return. 

Lastly; why does this place say ""Mexican"" when there's nothing ""Mexican"" to their dishes....

Well, the guacamole and chips were as authentic as ""Mexican"" can be.",date_night
"Categories: Restaurants, Bars, Nightlife, Barbeque, Sandwiches | Review: For the price, I honestly don't think it's worth it. I have eaten here twice and each time left something to be desired. I have tried the sampler plate with chicken, brisket, and sausage. The chicken was greasy and not as hot as I would expect freshly cooked chicken would be. The brisket had a similar problem, but more so I hoped it would be more tender. The sausage was very good, but really for a link of sausage to be that expensive is ridiculous. The bread was disgusting, as I believe other reviews have mentioned. BBQ sauces were all awesome though. 
On my second trip (for lunch) I tried the pulled pork sandwich. The flavors were good as was the meat, but the bun was way overpowering and a bland texture that absorbed some of the wonderful seasoning.
For sides I have tried the mac and cheese (deliciously decadent), the greens (wayyy too salty), and the coleslaw (nothing to write home about).
As for service, everyone is polite, yet I don't feel that they are fully engaged and more trying to ""perform"". Maybe it's just me, but unless I am involved in an important conversation I enjoy feeling a camaraderie with the folks serving. Instead it just felt like some superficial upsell instead of honest insight.
As this place has only been open for a couple months, I hope they will work out some of their kinks. I would honestly hope it becomes understood that while this is upscale for a barbeque restaurant it is not of the same caliber of Julienne, despite the same owners. The price range should not be the same.",casual_hangout
"Categories: Restaurants, Nightlife, Mexican, Bars, Cocktail Bars | Review: All I can say is the the view of the beach and the amazing food they make... is delicious.  Heat service as well. I was blown away. I'm usually picky about this food type but it surprised me on how flavorful it was. Not to mention... if there's a bit of a wait. You can always walk around the corner and grab a drink.",late_night
"Categories: Wine Bars, Bars, Beer Bar, Nightlife | Review: I was so sad that they were not serving frozé! :( I saw all the Yelp pictures and drove out a little further just to have one! I'm sad there was no therapy for me! :/ 
Lol so even though we weren't hungry, we figured we eat something and drink whatever since we were already here. 
I ordered the peanut butter bacon jelly something burger, something like that ask about it. I really enjoyed the kale salad that came along with it. I had some vino and ordered a few rounds. Service was great, place was clean and the vibe is good. 
Sadly, it wasn't frozé all day for me.",date_night
"Categories: Restaurants, Mexican | Review: Who gives a donkey shit that some old bag who loved terrines and ugly dresses thought this was the best Mexican food around. 

And honestly the line of food tourists and middle age SB locals outside is quite obscene. Go back to your Costco cookies, frappuccinos and lobster bisque.

Anywho--the handmade tortillas are the kind of foodstuff that people dream about, and each taco creation is spectacularly fresh and unique.  This is unlike any ""tacqueria"" I have ever been to.  

Note--No burritos.  Know what you are going to order before getting to the window inside.  Once inside the menu is directly to the right, and then you only have a minute or so to solidify your choices before ordering.  Don't hold up the line being some hem and haw douche bag.",casual_hangout
"Categories: Seafood, American (New), Sandwiches, Steakhouses, Restaurants, Bars, Nightlife | Review: My wife and I both work in the restaurant industry and have become accustomed to a certain level of quality when choosing to dine out. We could not speak higher of the service and food perfection we received from Opal. It is so difficult to celebrate special occasions during quarantine, and they were willing to go above and beyond to help us make our day exceptional. We both ordered the filet, and it was cooked to perfection! The kitchen team was kind enough to plate our meal into special containers, so it did not appear as ""to-go food"" and instead as we would see it if we were to dine in. Thank you so much for helping us celebrate our one year anniversary! Excellent guest service!! YUM!",upscale
"Categories: Restaurants, American (New), Seafood, French | Review: Was hoping this place was going to be amazing, as it was our big Saturday night dinner in SB. It was solid, but not the meal I had been anticipating. The menu varies, featuring local ingredients, which I think is great...but it was VERY limited. My friend is a pescetarian and she only had one entree option. I opted for the gnocci with beef cheeks, which I assumed would be gnocci with a beef ragu. Instead it was six gnocci in a beef stock with large chunks of beef cheeks. The beef was tasty and tender, but the gnocci were literally flavorless, so that was disappointing. Also, for the prices they charge (which aren't crazy but aren't cheap), it was expecting a little better decor and ambience, and maybe a bathroom that's not through the kitchen. Like all the way. In the room where they wash the dishes.",upscale
